모델명,카테고리,상품설명,가격,중고가격,감가율
SK매직 GRA-B3FDD,가스레인지,4년 사용했습니다. 상태 양호이며 고장 없음. 박스 및 구성품 있음.,126000,75600,0.4
린나이 RBR-S4000,가스레인지,6개월 사용했습니다. 상태 보통그리고 배터리 효율 낮음. 정품 인증서 포함.,260460,216181,0.17
SK매직 GRA-B3216D,가스레인지,거의 사용하지 않음. 외관 약간 흠집그리고 화면 금 갔음. 박스 및 구성품 있음.,113920,86579,0.24
SK매직 GRA-B322K,가스레인지,5년 사용했습니다. 상태 보통그리고 화면 금 갔음. 박스 없음.,174080,52224,0.7
린나이 RBR-P4400,가스레인지,4년 사용했습니다. 상태 보통그리고 배터리 효율 낮음. 박스 없음.,436700,196514,0.55
린나이 RT-5102,가스레인지,1개월 사용했습니다. 상태 양호하지만 생활 기스 있음. 박스 없음.,250380,225342,0.1
린나이 INBS301DJ,가스레인지,4년 사용했습니다. 상태 양호이며 고장 없음. 박스 및 구성품 있음.,167350,100410,0.4
SK매직 GRAB221K,가스레인지,6개월 사용했습니다. 사용감 있음이며 고장 없음. 충전기 없음.,85440,74332,0.13
린나이 RBR-S3307DJ,가스레인지,5년 사용했습니다. 상태 양호하지만 화면 금 갔음. 충전기 없음.,158790,50812,0.68
린나이 RBR-S3001D,가스레인지,4년 사용했습니다. 상태 최상하지만 화면 금 갔음.,213600,106800,0.5
린나이 CTA22NJ,가스레인지,5년 사용했습니다. 상태 최상하지만 배터리 효율 낮음. 박스 및 구성품 있음.,138600,62369,0.55
린나이 RT-1620I,가스레인지,거의 사용하지 않음. 생활흔적 있음그리고 배터리 효율 낮음. 박스 없음.,189730,147989,0.22
매직쉐프 MMW-W23FDHW,가스레인지,5년 사용했습니다. 외관 심한 흠집그리고 생활 기스 있음. 정품 인증서 포함.,119960,43185,0.64
린나이 RT-1080IJ,가스레인지,4년 사용했습니다. 생활흔적 있음그리고 화면 금 갔음.,128060,51224,0.6
린나이 INCP2032WJ,가스레인지,거의 사용하지 않음. 사용감 있음그리고 생활 기스 있음.,143060,121601,0.15
SK매직 GRA-B3218D,가스레인지,4년 사용했습니다. 상태 보통그리고 생활 기스 있음.,147990,76954,0.48
린나이 RT-6520I,가스레인지,거의 사용하지 않음. 외관 약간 흠집이며 작동 이상 없음. 박스 없음.,188810,168040,0.11
린나이 CPBC611DJ,가스레인지,1개월 사용했습니다. 상태 양호하지만 액정 파손.,176080,137342,0.22
SK매직 GRA-BA301D,가스레인지,1개월 사용했습니다. 상태 양호하지만 생활 기스 있음. 충전기 없음.,229020,206118,0.1
린나이 RBR-PF3000,가스레인지,5년 사용했습니다. 상태 양호이며 고장 없음. 추가 액세서리 포함.,294960,153379,0.48
SK매직 뉴에코 GRA-851SR,가스레인지,1개월 사용했습니다. 사용감 있음그리고 화면 금 갔음. 충전기 없음.,128820,96615,0.25
린나이 RBR-S6201D,가스레인지,6개월 사용했습니다. 상태 보통그리고 생활 기스 있음. 충전기 없음.,180000,151200,0.16
린나이 RBR-P3511WD,가스레인지,2년 사용했습니다. 사용감 있음그리고 배터리 효율 낮음. 박스 없음.,241400,152082,0.37
린나이 RBR-P2501D,가스레인지,거의 사용하지 않음. 사용감 있음그리고 배터리 효율 낮음. 충전기 없음.,210750,162277,0.23
SK매직 뉴에코 GRA-910SR,가스레인지,4년 사용했습니다. 상태 양호하지만 액정 파손.,171700,68680,0.6
SK매직 GRA-F2NRH,가스레인지,4년 사용했습니다. 사용감 있음그리고 생활 기스 있음.,116450,58225,0.5
린나이 GTA24SJ,가스레인지,2년 사용했습니다. 외관 약간 흠집그리고 생활 기스 있음. 정품 인증서 포함.,133400,96048,0.28
SK매직 뉴에코 GRA-841SR (GRA-841R),가스레인지,3년 사용했습니다. 상태 양호하지만 화면 금 갔음. 박스 및 구성품 있음.,144000,79200,0.45
린나이 RBR-S3000,가스레인지,3년 사용했습니다. 외관 심한 흠집그리고 액정 파손. 정품 인증서 포함.,218950,89769,0.59
하츠 GC-3605SDBH,가스레인지,4년 사용했습니다. 외관 약간 흠집그리고 화면 금 갔음. 박스 및 구성품 있음.,135000,55350,0.59
린나이 RBR-S3603DIJ,가스레인지,1개월 사용했습니다. 생활흔적 있음그리고 액정 파손. 박스 및 구성품 있음.,156710,114398,0.27
SK매직 GRA-B3FDD,가스레인지,4년 사용했습니다. 상태 양호이며 작동 이상 없음. 박스 및 구성품 있음.,126000,75600,0.4
린나이 RBR-S4000,가스레인지,4년 사용했습니다. 상태 최상하지만 액정 파손. 박스 없음.,260460,111997,0.57
SK매직 GRA-B3216D,가스레인지,거의 사용하지 않음. 상태 보통그리고 액정 파손. 추가 액세서리 포함.,113920,84300,0.26
SK매직 GRA-B322K,가스레인지,5년 사용했습니다. 외관 심한 흠집그리고 액정 파손. 박스 없음.,174080,31334,0.82
린나이 RBR-P4400,가스레인지,1년 사용했습니다. 외관 약간 흠집그리고 화면 금 갔음. 정품 인증서 포함.,436700,314424,0.28
린나이 RT-5102,가스레인지,1년 사용했습니다. 생활흔적 있음이며 작동 이상 없음. 정품 인증서 포함.,250380,215326,0.14
린나이 INBS301DJ,가스레인지,4년 사용했습니다. 상태 최상하지만 화면 금 갔음. 추가 액세서리 포함.,167350,87022,0.48
SK매직 GRAB221K,가스레인지,3년 사용했습니다. 상태 최상하지만 배터리 효율 낮음. 추가 액세서리 포함.,85440,57244,0.33
린나이 RBR-S3307DJ,가스레인지,거의 사용하지 않음. 상태 양호하지만 생활 기스 있음. 박스 및 구성품 있음.,158790,142911,0.1
린나이 RBR-S3001D,가스레인지,1개월 사용했습니다. 사용감 있음그리고 생활 기스 있음.,213600,187968,0.12
린나이 CTA22NJ,가스레인지,1년 사용했습니다. 사용감 있음이며 작동 이상 없음. 박스 없음.,138600,115038,0.17
린나이 RT-1620I,가스레인지,5년 사용했습니다. 사용감 있음그리고 화면 금 갔음.,189730,56919,0.7
매직쉐프 MMW-W23FDHW,가스레인지,5년 사용했습니다. 상태 최상하지만 배터리 효율 낮음. 박스 없음.,119960,51582,0.57
린나이 RT-1080IJ,가스레인지,3년 사용했습니다. 생활흔적 있음그리고 화면 금 갔음. 정품 인증서 포함.,128060,65310,0.49
린나이 INCP2032WJ,가스레인지,6개월 사용했습니다. 외관 약간 흠집그리고 생활 기스 있음. 충전기 없음.,143060,118739,0.17
SK매직 GRA-B3218D,가스레인지,거의 사용하지 않음. 상태 최상하지만 화면 금 갔음. 박스 및 구성품 있음.,147990,125791,0.15
린나이 RT-6520I,가스레인지,2년 사용했습니다. 사용감 있음그리고 배터리 효율 낮음. 충전기 없음.,188810,117062,0.38
린나이 CPBC611DJ,가스레인지,3년 사용했습니다. 사용감 있음그리고 배터리 효율 낮음. 정품 인증서 포함.,176080,98604,0.44
SK매직 GRA-BA301D,가스레인지,거의 사용하지 않음. 상태 양호하지만 화면 금 갔음.,229020,183216,0.2
린나이 RBR-PF3000,가스레인지,4년 사용했습니다. 상태 양호이며 고장 없음. 충전기 없음.,294960,168127,0.43
SK매직 뉴에코 GRA-851SR,가스레인지,1개월 사용했습니다. 외관 약간 흠집그리고 액정 파손.,128820,95326,0.26
린나이 RBR-S6201D,가스레인지,5년 사용했습니다. 상태 양호이며 작동 이상 없음. 박스 없음.,180000,86400,0.52
린나이 RBR-P3511WD,가스레인지,3년 사용했습니다. 외관 심한 흠집이며 작동 이상 없음. 정품 인증서 포함.,241400,147254,0.39
린나이 RBR-P2501D,가스레인지,거의 사용하지 않음. 사용감 있음그리고 화면 금 갔음.,210750,158062,0.25
SK매직 뉴에코 GRA-910SR,가스레인지,3년 사용했습니다. 사용감 있음이며 작동 이상 없음. 추가 액세서리 포함.,171700,115038,0.33
SK매직 GRA-F2NRH,가스레인지,1개월 사용했습니다. 외관 약간 흠집이며 작동 이상 없음. 충전기 없음.,116450,104805,0.1
린나이 GTA24SJ,가스레인지,1년 사용했습니다. 상태 최상이며 작동 이상 없음. 충전기 없음.,133400,120060,0.1
SK매직 뉴에코 GRA-841SR (GRA-841R),가스레인지,3년 사용했습니다. 상태 최상이며 작동 이상 없음. 추가 액세서리 포함.,144000,110880,0.23
린나이 RBR-S3000,가스레인지,1년 사용했습니다. 생활흔적 있음그리고 생활 기스 있음. 정품 인증서 포함.,218950,177349,0.19
하츠 GC-3605SDBH,가스레인지,2년 사용했습니다. 외관 약간 흠집그리고 배터리 효율 낮음. 추가 액세서리 포함.,135000,91799,0.32
린나이 RBR-S3603DIJ,가스레인지,거의 사용하지 않음. 외관 약간 흠집그리고 화면 금 갔음. 박스 및 구성품 있음.,156710,119099,0.24
SK매직 GRA-B3FDD,가스레인지,6개월 사용했습니다. 외관 약간 흠집이며 고장 없음. 충전기 없음.,126000,110880,0.12
린나이 RBR-S4000,가스레인지,거의 사용하지 않음. 상태 보통그리고 배터리 효율 낮음. 충전기 없음.,260460,205763,0.21
SK매직 GRA-B3216D,가스레인지,2년 사용했습니다. 외관 약간 흠집그리고 배터리 효율 낮음. 충전기 없음.,113920,71769,0.37
SK매직 GRA-B322K,가스레인지,1개월 사용했습니다. 생활흔적 있음그리고 액정 파손. 박스 및 구성품 있음.,174080,127078,0.27
린나이 RBR-P4400,가스레인지,2년 사용했습니다. 상태 최상하지만 화면 금 갔음. 박스 없음.,436700,296956,0.32
린나이 RT-5102,가스레인지,거의 사용하지 않음. 상태 최상하지만 액정 파손. 추가 액세서리 포함.,250380,205311,0.18
린나이 INBS301DJ,가스레인지,3년 사용했습니다. 상태 양호이며 고장 없음. 정품 인증서 포함.,167350,118818,0.29
SK매직 GRAB221K,가스레인지,4년 사용했습니다. 외관 심한 흠집그리고 배터리 효율 낮음. 추가 액세서리 포함.,85440,35884,0.58
린나이 RBR-S3307DJ,가스레인지,5년 사용했습니다. 상태 보통그리고 화면 금 갔음. 박스 및 구성품 있음.,158790,50812,0.68
린나이 RBR-S3001D,가스레인지,2년 사용했습니다. 상태 최상하지만 배터리 효율 낮음. 박스 및 구성품 있음.,213600,160200,0.25
린나이 CTA22NJ,가스레인지,5년 사용했습니다. 상태 보통그리고 화면 금 갔음. 충전기 없음.,138600,40194,0.71
린나이 RT-1620I,가스레인지,6개월 사용했습니다. 사용감 있음이며 작동 이상 없음. 충전기 없음.,189730,165065,0.13
매직쉐프 MMW-W23FDHW,가스레인지,6개월 사용했습니다. 상태 양호하지만 화면 금 갔음. 박스 없음.,119960,93568,0.22
린나이 RT-1080IJ,가스레인지,5년 사용했습니다. 외관 심한 흠집그리고 배터리 효율 낮음. 박스 및 구성품 있음.,128060,38418,0.7
린나이 INCP2032WJ,가스레인지,5년 사용했습니다. 상태 보통이며 고장 없음. 추가 액세서리 포함.,143060,70099,0.51
SK매직 GRA-B3218D,가스레인지,1년 사용했습니다. 사용감 있음그리고 화면 금 갔음. 충전기 없음.,147990,99153,0.33
린나이 RT-6520I,가스레인지,5년 사용했습니다. 상태 보통그리고 생활 기스 있음. 추가 액세서리 포함.,188810,83076,0.56
린나이 CPBC611DJ,가스레인지,2년 사용했습니다. 상태 양호이며 작동 이상 없음. 충전기 없음.,176080,135581,0.23
SK매직 GRA-BA301D,가스레인지,1년 사용했습니다. 생활흔적 있음그리고 화면 금 갔음. 박스 없음.,229020,155733,0.32
린나이 RBR-PF3000,가스레인지,1년 사용했습니다. 상태 보통그리고 생활 기스 있음. 추가 액세서리 포함.,294960,247766,0.16
SK매직 뉴에코 GRA-851SR,가스레인지,1년 사용했습니다. 외관 약간 흠집그리고 화면 금 갔음. 박스 및 구성품 있음.,128820,91462,0.29
린나이 RBR-S6201D,가스레인지,1개월 사용했습니다. 외관 심한 흠집이며 작동 이상 없음. 충전기 없음.,180000,153000,0.15
린나이 RBR-P3511WD,가스레인지,5년 사용했습니다. 상태 양호이며 고장 없음.,241400,120700,0.5
린나이 RBR-P2501D,가스레인지,거의 사용하지 않음. 상태 양호하지만 배터리 효율 낮음. 박스 없음.,210750,174922,0.17
SK매직 뉴에코 GRA-910SR,가스레인지,3년 사용했습니다. 생활흔적 있음이며 작동 이상 없음. 박스 없음.,171700,108171,0.37
SK매직 GRA-F2NRH,가스레인지,5년 사용했습니다. 상태 보통그리고 생활 기스 있음. 추가 액세서리 포함.,116450,51237,0.56
린나이 GTA24SJ,가스레인지,5년 사용했습니다. 사용감 있음그리고 액정 파손. 정품 인증서 포함.,133400,34684,0.74
SK매직 뉴에코 GRA-841SR (GRA-841R),가스레인지,6개월 사용했습니다. 생활흔적 있음이며 고장 없음. 정품 인증서 포함.,144000,129600,0.1
린나이 RBR-S3000,가스레인지,1개월 사용했습니다. 외관 약간 흠집그리고 액정 파손. 정품 인증서 포함.,218950,164212,0.25
하츠 GC-3605SDBH,가스레인지,거의 사용하지 않음. 사용감 있음그리고 생활 기스 있음. 박스 및 구성품 있음.,135000,114750,0.15
린나이 RBR-S3603DIJ,가스레인지,3년 사용했습니다. 상태 양호이며 작동 이상 없음. 박스 없음.,156710,106562,0.32
SK매직 GRA-B3FDD,가스레인지,거의 사용하지 않음. 외관 심한 흠집그리고 배터리 효율 낮음. 박스 없음.,126000,91980,0.27
린나이 RBR-S4000,가스레인지,1개월 사용했습니다. 상태 보통이며 작동 이상 없음. 박스 및 구성품 있음.,260460,234414,0.1
SK매직 GRA-B3216D,가스레인지,4년 사용했습니다. 사용감 있음이며 작동 이상 없음. 박스 없음.,113920,60377,0.47
SK매직 GRA-B322K,가스레인지,6개월 사용했습니다. 외관 약간 흠집이며 고장 없음.,174080,156672,0.1
린나이 RBR-P4400,가스레인지,2년 사용했습니다. 상태 최상이며 고장 없음. 충전기 없음.,436700,358094,0.18
린나이 RT-5102,가스레인지,거의 사용하지 않음. 외관 심한 흠집그리고 화면 금 갔음. 충전기 없음.,250380,167754,0.33
린나이 INBS301DJ,가스레인지,거의 사용하지 않음. 외관 심한 흠집그리고 액정 파손. 추가 액세서리 포함.,167350,112124,0.33
SK매직 GRAB221K,가스레인지,3년 사용했습니다. 외관 심한 흠집그리고 화면 금 갔음. 충전기 없음.,85440,35884,0.58
린나이 RBR-S3307DJ,가스레인지,2년 사용했습니다. 외관 약간 흠집그리고 생활 기스 있음. 정품 인증서 포함.,158790,114328,0.28
린나이 RBR-S3001D,가스레인지,6개월 사용했습니다. 상태 보통이며 고장 없음. 박스 및 구성품 있음.,213600,192240,0.1
린나이 CTA22NJ,가스레인지,2년 사용했습니다. 상태 보통이며 작동 이상 없음.,138600,106722,0.23
린나이 RT-1620I,가스레인지,2년 사용했습니다. 외관 약간 흠집그리고 생활 기스 있음. 박스 및 구성품 있음.,189730,134708,0.29
매직쉐프 MMW-W23FDHW,가스레인지,2년 사용했습니다. 상태 양호하지만 액정 파손. 박스 없음.,119960,69576,0.42
린나이 RT-1080IJ,가스레인지,4년 사용했습니다. 외관 약간 흠집그리고 배터리 효율 낮음. 박스 없음.,128060,56346,0.56
린나이 INCP2032WJ,가스레인지,5년 사용했습니다. 사용감 있음이며 작동 이상 없음. 박스 없음.,143060,61515,0.57
SK매직 GRA-B3218D,가스레인지,6개월 사용했습니다. 생활흔적 있음이며 작동 이상 없음. 박스 및 구성품 있음.,147990,133191,0.1
린나이 RT-6520I,가스레인지,1개월 사용했습니다. 상태 최상이며 작동 이상 없음. 박스 및 구성품 있음.,188810,169929,0.1
린나이 CPBC611DJ,가스레인지,6개월 사용했습니다. 생활흔적 있음그리고 액정 파손. 박스 없음.,176080,119734,0.32
SK매직 GRA-BA301D,가스레인지,1년 사용했습니다. 생활흔적 있음그리고 화면 금 갔음. 충전기 없음.,229020,153443,0.33
린나이 RBR-PF3000,가스레인지,거의 사용하지 않음. 외관 심한 흠집이며 고장 없음. 추가 액세서리 포함.,294960,256615,0.13
SK매직 뉴에코 GRA-851SR,가스레인지,5년 사용했습니다. 상태 양호하지만 액정 파손. 박스 및 구성품 있음.,128820,38646,0.7
린나이 RBR-S6201D,가스레인지,2년 사용했습니다. 상태 양호이며 고장 없음. 박스 및 구성품 있음.,180000,144000,0.2
린나이 RBR-P3511WD,가스레인지,거의 사용하지 않음. 상태 보통그리고 액정 파손. 정품 인증서 포함.,241400,176222,0.27
린나이 RBR-P2501D,가스레인지,6개월 사용했습니다. 상태 보통이며 작동 이상 없음. 정품 인증서 포함.,210750,189675,0.1
SK매직 뉴에코 GRA-910SR,가스레인지,4년 사용했습니다. 상태 양호하지만 화면 금 갔음. 추가 액세서리 포함.,171700,80699,0.53
SK매직 GRA-F2NRH,가스레인지,4년 사용했습니다. 외관 약간 흠집그리고 화면 금 갔음. 충전기 없음.,116450,44251,0.62
린나이 GTA24SJ,가스레인지,1개월 사용했습니다. 외관 약간 흠집이며 고장 없음. 박스 없음.,133400,120060,0.1
SK매직 뉴에코 GRA-841SR (GRA-841R),가스레인지,3년 사용했습니다. 상태 양호하지만 액정 파손. 박스 없음.,144000,69120,0.52
린나이 RBR-S3000,가스레인지,2년 사용했습니다. 상태 보통그리고 화면 금 갔음. 추가 액세서리 포함.,218950,140128,0.36
하츠 GC-3605SDBH,가스레인지,1개월 사용했습니다. 상태 보통그리고 배터리 효율 낮음. 충전기 없음.,135000,110700,0.18
린나이 RBR-S3603DIJ,가스레인지,1개월 사용했습니다. 상태 최상하지만 배터리 효율 낮음. 충전기 없음.,156710,141039,0.1
SK매직 GRA-B3FDD,가스레인지,4년 사용했습니다. 상태 보통그리고 생활 기스 있음. 박스 및 구성품 있음.,126000,65520,0.48
린나이 RBR-S4000,가스레인지,6개월 사용했습니다. 상태 최상이며 작동 이상 없음. 정품 인증서 포함.,260460,234414,0.1
SK매직 GRA-B3216D,가스레인지,4년 사용했습니다. 상태 양호이며 작동 이상 없음. 박스 없음.,113920,66073,0.42
SK매직 GRA-B322K,가스레인지,1개월 사용했습니다. 사용감 있음그리고 배터리 효율 낮음. 추가 액세서리 포함.,174080,147968,0.15
린나이 RBR-P4400,가스레인지,1년 사용했습니다. 상태 양호이며 작동 이상 없음. 추가 액세서리 포함.,436700,393030,0.1
린나이 RT-5102,가스레인지,1개월 사용했습니다. 상태 최상하지만 생활 기스 있음.,250380,225342,0.1
린나이 INBS301DJ,가스레인지,1년 사용했습니다. 사용감 있음그리고 액정 파손. 박스 없음.,167350,105430,0.37
SK매직 GRAB221K,가스레인지,1개월 사용했습니다. 상태 양호이며 고장 없음.,85440,76896,0.1
린나이 RBR-S3307DJ,가스레인지,3년 사용했습니다. 생활흔적 있음이며 고장 없음. 충전기 없음.,158790,98449,0.38
린나이 RBR-S3001D,가스레인지,1년 사용했습니다. 상태 보통이며 고장 없음.,213600,185832,0.13
린나이 CTA22NJ,가스레인지,5년 사용했습니다. 외관 약간 흠집그리고 배터리 효율 낮음. 추가 액세서리 포함.,138600,52668,0.62
린나이 RT-1620I,가스레인지,2년 사용했습니다. 사용감 있음그리고 액정 파손. 박스 및 구성품 있음.,189730,104351,0.45
매직쉐프 MMW-W23FDHW,가스레인지,2년 사용했습니다. 상태 최상이며 작동 이상 없음.,119960,101966,0.15
린나이 RT-1080IJ,가스레인지,1개월 사용했습니다. 상태 양호하지만 액정 파손.,128060,99886,0.22
린나이 INCP2032WJ,가스레인지,2년 사용했습니다. 상태 최상이며 작동 이상 없음. 충전기 없음.,143060,117309,0.18
SK매직 GRA-B3218D,가스레인지,1개월 사용했습니다. 상태 최상하지만 생활 기스 있음. 충전기 없음.,147990,133191,0.1
린나이 RT-6520I,가스레인지,5년 사용했습니다. 사용감 있음이며 작동 이상 없음. 정품 인증서 포함.,188810,86852,0.54
린나이 CPBC611DJ,가스레인지,4년 사용했습니다. 사용감 있음그리고 화면 금 갔음. 정품 인증서 포함.,176080,72192,0.59
SK매직 GRA-BA301D,가스레인지,5년 사용했습니다. 사용감 있음이며 작동 이상 없음. 박스 없음.,229020,98478,0.57
린나이 RBR-PF3000,가스레인지,5년 사용했습니다. 생활흔적 있음그리고 액정 파손. 박스 없음.,294960,67840,0.77
SK매직 뉴에코 GRA-851SR,가스레인지,2년 사용했습니다. 상태 보통그리고 액정 파손. 정품 인증서 포함.,128820,74715,0.42
린나이 RBR-S6201D,가스레인지,6개월 사용했습니다. 상태 보통그리고 배터리 효율 낮음. 추가 액세서리 포함.,180000,151200,0.16
린나이 RBR-P3511WD,가스레인지,거의 사용하지 않음. 생활흔적 있음그리고 배터리 효율 낮음. 박스 없음.,241400,188292,0.22
린나이 RBR-P2501D,가스레인지,5년 사용했습니다. 상태 보통그리고 액정 파손. 박스 없음.,210750,52687,0.75
SK매직 뉴에코 GRA-910SR,가스레인지,1개월 사용했습니다. 외관 심한 흠집그리고 배터리 효율 낮음. 박스 및 구성품 있음.,171700,133926,0.22
SK매직 GRA-F2NRH,가스레인지,6개월 사용했습니다. 생활흔적 있음그리고 생활 기스 있음. 충전기 없음.,116450,95489,0.18
린나이 GTA24SJ,가스레인지,1년 사용했습니다. 생활흔적 있음그리고 화면 금 갔음. 추가 액세서리 포함.,133400,96048,0.28
SK매직 뉴에코 GRA-841SR (GRA-841R),가스레인지,6개월 사용했습니다. 상태 보통그리고 액정 파손. 정품 인증서 포함.,144000,105120,0.27
린나이 RBR-S3000,가스레인지,5년 사용했습니다. 사용감 있음그리고 생활 기스 있음. 충전기 없음.,218950,81011,0.63
하츠 GC-3605SDBH,가스레인지,5년 사용했습니다. 상태 양호이며 작동 이상 없음. 충전기 없음.,135000,63450,0.53
린나이 RBR-S3603DIJ,가스레인지,6개월 사용했습니다. 상태 보통그리고 생활 기스 있음. 추가 액세서리 포함.,156710,139471,0.11
SK매직 GRA-B3FDD,가스레인지,거의 사용하지 않음. 사용감 있음그리고 생활 기스 있음. 추가 액세서리 포함.,126000,109620,0.13
린나이 RBR-S4000,가스레인지,3년 사용했습니다. 외관 약간 흠집그리고 화면 금 갔음. 추가 액세서리 포함.,260460,138043,0.47
SK매직 GRA-B3216D,가스레인지,5년 사용했습니다. 외관 심한 흠집그리고 생활 기스 있음. 박스 없음.,113920,37593,0.67
SK매직 GRA-B322K,가스레인지,6개월 사용했습니다. 외관 심한 흠집그리고 화면 금 갔음. 박스 없음.,174080,118374,0.32
린나이 RBR-P4400,가스레인지,6개월 사용했습니다. 사용감 있음그리고 배터리 효율 낮음. 추가 액세서리 포함.,436700,358094,0.18
린나이 RT-5102,가스레인지,6개월 사용했습니다. 외관 심한 흠집그리고 생활 기스 있음. 박스 및 구성품 있음.,250380,200304,0.2
린나이 INBS301DJ,가스레인지,2년 사용했습니다. 상태 보통그리고 생활 기스 있음. 충전기 없음.,167350,115471,0.31
SK매직 GRAB221K,가스레인지,2년 사용했습니다. 생활흔적 있음그리고 배터리 효율 낮음. 박스 없음.,85440,53827,0.37
린나이 RBR-S3307DJ,가스레인지,5년 사용했습니다. 상태 보통그리고 화면 금 갔음. 충전기 없음.,158790,46049,0.71
린나이 RBR-S3001D,가스레인지,4년 사용했습니다. 상태 최상하지만 배터리 효율 낮음. 박스 없음.,213600,113208,0.47
린나이 CTA22NJ,가스레인지,1개월 사용했습니다. 외관 약간 흠집이며 고장 없음.,138600,124740,0.1
린나이 RT-1620I,가스레인지,1년 사용했습니다. 외관 약간 흠집그리고 생활 기스 있음.,189730,153681,0.19
매직쉐프 MMW-W23FDHW,가스레인지,거의 사용하지 않음. 사용감 있음그리고 액정 파손. 추가 액세서리 포함.,119960,86371,0.28
린나이 RT-1080IJ,가스레인지,6개월 사용했습니다. 외관 심한 흠집이며 고장 없음. 추가 액세서리 포함.,128060,111412,0.13
린나이 INCP2032WJ,가스레인지,거의 사용하지 않음. 상태 보통그리고 생활 기스 있음. 박스 없음.,143060,121601,0.15
SK매직 GRA-B3218D,가스레인지,2년 사용했습니다. 상태 양호이며 고장 없음. 박스 없음.,147990,115432,0.22
린나이 RT-6520I,가스레인지,1개월 사용했습니다. 사용감 있음이며 작동 이상 없음. 추가 액세서리 포함.,188810,169929,0.1
린나이 CPBC611DJ,가스레인지,4년 사용했습니다. 생활흔적 있음그리고 액정 파손. 정품 인증서 포함.,176080,63388,0.64
SK매직 GRA-BA301D,가스레인지,3년 사용했습니다. 상태 최상하지만 화면 금 갔음. 박스 및 구성품 있음.,229020,137412,0.4
린나이 RBR-PF3000,가스레인지,1년 사용했습니다. 외관 약간 흠집그리고 화면 금 갔음. 정품 인증서 포함.,294960,212371,0.28
SK매직 뉴에코 GRA-851SR,가스레인지,1개월 사용했습니다. 상태 양호하지만 액정 파손. 박스 없음.,128820,97903,0.24
린나이 RBR-S6201D,가스레인지,3년 사용했습니다. 생활흔적 있음이며 고장 없음. 정품 인증서 포함.,180000,118799,0.34
린나이 RBR-P3511WD,가스레인지,거의 사용하지 않음. 상태 양호하지만 생활 기스 있음. 정품 인증서 포함.,241400,217260,0.1
린나이 RBR-P2501D,가스레인지,거의 사용하지 않음. 상태 양호이며 작동 이상 없음. 정품 인증서 포함.,210750,189675,0.1
SK매직 뉴에코 GRA-910SR,가스레인지,4년 사용했습니다. 상태 보통그리고 액정 파손. 추가 액세서리 포함.,171700,66963,0.61
